Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
76,tt14483774,2023-07-07,2023-11-28,"August 4th (Sony)
Budget: 
Opening Weekend: $300,949
Domestic: $675,257
International: $10,769
Worldwide: $686,026

Status: Unknown.",Shortcomings,https://www.imdb.com/title/tt14483774/,movie,6.5,92,2023,"Comedy, Drama, Romance",2282,2023-01-22,Randall Park
77,tt1001520,2022-03-30,2023-12-05,"August 11th (Universal) 
Budget: $45,000,000
Opening Weekend: $6,504,950
Domestic: $13,637,180
International: $8,148,867
Worldwide: $21,786,047

Status: Massive Flop.",The Last Voyage of the Demeter,https://www.imdb.com/title/tt1001520/,movie,6.1,118,2023,"Fantasy, Horror",40072,2023-08-09,André Øvredal
78,tt9362930,2022-03-30,2023-11-28,"August 18th (Warner Bros.) 
Budget: $104,000,000
Opening Weekend: $25,030,225
Domestic: $72,488,072
International: $56,800,000
Worldwide: $129,288,072

Status: Massive Flop.",Blue Beetle,https://www.imdb.com/title/tt9362930/,movie,6.0,127,2023,"Action, Adventure, Sci-Fi, Thriller",82014,2023-08-16,Angel Manuel Soto
79,tt15153532,2023-05-08,2023-12-27,"August 18th (Universal)
Budget: $46,000,000
Opening Weekend: $8,247,810
Domestic: $23,988,885
International: $12,035,602
Worldwide: $36,024,487

Status: Massive Flop.",Strays,https://www.imdb.com/title/tt15153532/,movie,6.3,93,2023,"Adventure, Comedy",22967,2023-08-17,Josh Greenbaum
80,tt7645334,2023-07-12,2023-09-05,"August 18th (MGM)
Budget: 
Opening Weekend: $96,847
Domestic: $203,403
International: 
Worldwide: $203,403

Status: Unknown.",Landscape with Invisible Hand,https://www.imdb.com/title/tt7645334/,movie,5.9,105,2023,"Comedy, Drama, Sci-Fi",2324,2023-01-23,Cory Finley
81,tt4495098,2022-06-14,2023-12-27,"August 25th (Sony) 
Budget: $60,000,000
Opening Weekend: $17,400,000
Domestic: $44,428,554
International: $77,499,324
Worldwide: $121,927,878

Status: Flop.",Gran Turismo,https://www.imdb.com/title/tt4495098/,movie,7.2,134,2023,"Action, Adventure, Drama, Sport",72978,2023-07-16,Neill Blomkamp
82,tt6906292,2023-07-12,2023-12-27,"August 25th (Lionsgate)
Budget: $20,000,000
Opening Weekend: $3,518,830
Domestic: $6,937,696
International: $11,748,055
Worldwide: $18,685,751

Status: Massive Flop.",Retribution,https://www.imdb.com/title/tt6906292/,movie,5.3,91,2023,"Action, Thriller",15313,2023-08-23,Nimród Antal
83,tt17527468,2023-07-12,2023-12-27,"August 25th (MGM)
Budget: $11,300,000
Opening Weekend: $461,052
Domestic: $12,036,071
International: $896,523
Worldwide: $12,932,594

Status: Early to Tell.",Bottoms,https://www.imdb.com/title/tt17527468/,movie,6.8,91,2023,Comedy,27456,2023-03-11,Emma Seligman
84,tt17024450,2022-04-21,2023-12-27,"September 1st (Sony) 
Budget: $70,000,000
3-Day Opening: $34,600,000
4-Day Opening: $42,750,000
Domestic: $92,373,751
International: $98,617,316
Worldwide: $190,991,067

Status: Success.",The Equalizer 3,https://www.imdb.com/title/tt17024450/,movie,6.8,109,2023,"Action, Crime, Thriller",83445,2023-08-30,Antoine Fuqua
85,tt10160976,2022-08-24,2023-11-28,"September 8th (Warner Bros.)
Budget: $38,500,000
Opening Weekend: $32,603,336
Domestic: $86,267,073
International: $181,800,000
Worldwide: $268,067,073

Status: Massive Success.",The Nun II,https://www.imdb.com/title/tt10160976/,movie,5.6,110,2023,"Horror, Mystery, Thriller",52401,2023-09-06,Michael Chaves
86,tt21103300,2023-02-22,2023-12-27,"September 8th (Universal/Focus Features)
Budget: 
Opening Weekend: $10,028,675
Domestic: $28,496,030
International: $10,320,251
Worldwide: $38,816,281

Status: Unknown.",My Big Fat Greek Wedding 3,https://www.imdb.com/title/tt21103300/,movie,5.2,92,2023,"Comedy, Drama, Romance",7010,2023-09-06,Nia Vardalos
87,tt22687790,2022-10-11,2023-12-27,"September 15th (Disney/20th Century Studios)
Budget: $60,000,000
Opening Weekend: $14,279,529
Domestic: $42,471,412
International: $79,819,044
Worldwide: $122,290,456

Status: Flop.",A Haunting in Venice,https://www.imdb.com/title/tt22687790/,movie,6.5,103,2023,"Crime, Drama, Horror, Mystery, Thriller",91695,2023-09-13,Kenneth Branagh
88,tt13957560,2023-03-10,2023-12-27,"September 15th (Sony)
Budget: 
Opening Weekend: $220,947
Domestic: $13,925,356
International: $6,590,539
Worldwide: $20,515,895

Status: Unknown.",Dumb Money,https://www.imdb.com/title/tt13957560/,movie,6.9,105,2023,"Biography, Comedy, Drama",23265,2023-09-08,Craig Gillespie
89,tt3291150,2022-10-07,2023-12-27,"September 22nd (Lionsgate)
Budget: $100,000,000
Opening Weekend: $8,039,021
Domestic: $16,710,153
International: $21,202,137
Worldwide: $37,912,290

Status: Massive Flop.",Expend4bles,https://www.imdb.com/title/tt3291150/,movie,4.8,103,2023,"Action, Adventure, Thriller, War",29089,2023-09-08,Scott Waugh
90,tt15683734,2023-09-05,2023-12-27,"September 22nd (Neon)
Budget:
Opening Weekend: $2,607,665
Domestic: $4,675,092
International: $2,548,114
Worldwide: $7,223,206

Status: Unknown.",It Lives Inside,https://www.imdb.com/title/tt15683734/,movie,5.2,99,2023,"Drama, Horror, Thriller",5387,2023-03-11,Bishal Dutta
91,tt11858890,2022-06-14,2023-12-27,"September 29th (Disney/20th Century Studios) 
Budget: $80,000,000
Opening Weekend: $14,079,512
Domestic: $40,774,679
International: $63,497,457
Worldwide: $104,272,136

Status: Massive Flop.",The Creator,https://www.imdb.com/title/tt11858890/,movie,6.8,133,2023,"Action, Adventure, Drama, Sci-Fi, Thriller",106208,2023-09-21,Gareth Edwards
92,tt21807222,2022-08-16,2023-12-27,"September 29th (Lionsgate) 
Budget: $13,000,000
Opening Weekend: $18,309,301
Domestic: $53,607,898
International: $56,947,980
Worldwide: $110,555,878

Status: Massive Success.",Saw X,https://www.imdb.com/title/tt21807222/,movie,6.6,118,2023,"Horror, Mystery, Thriller",62780,2023-09-25,Kevin Greutert
93,tt15837338,2022-03-30,2023-12-27,"September 29th (Paramount) 
Budget: $30,000,000
Opening Weekend: $22,764,354
Domestic: $65,231,360
International: $133,700,000
Worldwide: $198,931,360

Status: Massive Success.",PAW Patrol: The Mighty Movie,https://www.imdb.com/title/tt15837338/,movie,6.0,88,2023,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",4187,2023-09-21,Cal Brunker
94,tt12921446,2022-03-30,2023-12-27,"October 6th (Universal) 
Budget: $30,000,000
Opening Weekend: $26,497,600
Domestic: $65,537,395
International: $70,632,517
Worldwide: $136,169,912

Status: Massive Success.",The Exorcist: Believer,https://www.imdb.com/title/tt12921446/,movie,4.8,111,2023,Horror,33085,2023-10-04,David Gordon Green
95,tt7130916,2023-08-06,2023-12-27,"October 6th (A24)
Budget: 
Opening Weekend: $201,951
Domestic: $1,453,012
International: $18,303
Worldwide: $1,471,315

Status: Unknown.",Dicks: The Musical,https://www.imdb.com/title/tt7130916/,movie,5.5,86,2023,"Comedy, Musical",1806,2023-09-07,Larry Charles
96,tt18363072,2023-09-08,2023-12-27,"October 6th (Neon)
Budget: 
Opening Weekend: $331,010
Domestic: $780,263
International: $277,647
Worldwide: $1,057,910

Status: Unknown.",The Royal Hotel,https://www.imdb.com/title/tt18363072/,movie,5.9,91,2023,Thriller,6378,2023-09-01,Kitty Green
97,tt17009710,2023-09-05,2023-12-27,"October 13th (Neon)
Budget: 
Opening Weekend: $117,848
Domestic: $3,697,360
International: $17,186,854
Worldwide: $20,884,214

Status: Unknown.",Anatomie d'une chute,https://www.imdb.com/title/tt17009710/,movie,7.8,151,2023,"Crime, Drama, Thriller",29311,2023-05-21,Justine Triet
98,tt5537002,2023-08-29,2023-12-27,"October 20th (Apple/Paramount)
Budget: $200,000,000
Opening Weekend: $23,253,655
Domestic: $67,235,408
International: $89,000,000
Worldwide: $156,235,408

Status: Massive Flop.",Killers of the Flower Moon,https://www.imdb.com/title/tt5537002/,movie,7.8,206,2023,"Crime, Drama, History, Mystery, Romance, Western",145300,2023-05-20,Martin Scorsese
99,tt24076146,2023-09-21,2023-12-27,"October 20th (Sony)
Budget: 
Opening Weekend: $75,592
Domestic: $559,820
International: 
Worldwide: $559,820

Status: Unknown.",The Persian Version,https://www.imdb.com/title/tt24076146/,movie,6.4,107,2023,"Comedy, Drama, Romance",1720,2023-01-21,Maryam Keshavarz
100,tt4589218,2023-07-28,2023-12-27,"October 27th (Universal)
Budget: $20,000,000
Opening Weekend: $80,001,720
Domestic: $137,275,620
International: $152,086,000
Worldwide: $289,361,620

Status: Massive Success.",Five Nights at Freddy's,https://www.imdb.com/title/tt4589218/,movie,5.5,109,2023,"Horror, Mystery, Thriller",80939,2023-10-25,Emma Tammi
101,tt22041854,2023-08-29,2023-12-27,"October 27th (A24)
Budget: 
Opening Weekend: $132,139
Domestic: $20,864,910
International: $76,003
Worldwide: $20,940,913

Status: Unknown.",Priscilla,https://www.imdb.com/title/tt22041854/,movie,6.7,113,2023,"Biography, Drama, Music, Romance",12502,2023-09-04,Sofia Coppola
102,tt14849194,2023-02-24,2023-12-27,"October 27th (Universal/Focus Features)
Budget: 
Opening Weekend: $211,093
Domestic: $17,815,495
International: $792,577
Worldwide: $18,608,072

Status: Unknown.",The Holdovers,https://www.imdb.com/title/tt14849194/,movie,8.0,133,2023,"Comedy, Drama",39200,2023-08-31,Alexander Payne
103,tt8002382,2023-09-02,2023-12-27,"November 3rd (Lionsgate)
Budget: 
Opening Weekend: $849,006
Domestic: $1,792,905
International: $1,209,010
Worldwide: $3,001,915

Status: Unknown.",The Marsh King's Daughter,https://www.imdb.com/title/tt8002382/,movie,5.8,109,2023,"Crime, Drama, Mystery, Thriller",5280,2023-09-28,Neil Burger
104,tt11534720,2023-09-15,2023-12-05,"November 3rd (A24)
Budget: 
Opening Weekend: $11,127
Domestic: $52,084
International: 
Worldwide: $52,084

Status: Unknown.",All Dirt Roads Taste of Salt,https://www.imdb.com/title/tt11534720/,movie,6.0,92,2023,Drama,508,2023-01-22,Raven Jackson
105,tt10676048,2023-02-17,2023-12-27,"November 10th (Disney/Marvel Studios)
Budget: $220,000,000
Opening Weekend: $46,110,859
Domestic: $84,425,017
International: $121,153,414
Worldwide: $205,578,431

Status: Massive Flop.",The Marvels,https://www.imdb.com/title/tt10676048/,movie,5.8,105,2023,"Action, Adventure, Fantasy",66972,2023-11-08,Nia DaCosta
106,tt21942866,2023-08-14,2023-12-27,"November 10th (A24)
Budget: 
Opening Weekend: $220,035
Domestic: $5,591,254
International: $1,185,784
Worldwide: $6,777,038

Status: Unknown.",Dream Scenario,https://www.imdb.com/title/tt21942866/,movie,7.1,102,2023,"Comedy, Horror",20008,2023-09-09,Kristoffer Borgli
107,tt13848804,2023-04-03,2023-12-27,"November 10th (Sony)
Budget: $6,000,000
Opening Weekend: $2,400,446
Domestic: $6,805,964
International: $498,573
Worldwide: $7,304,537

Status: Massive Flop.",Journey to Bethlehem,https://www.imdb.com/title/tt13848804/,movie,6.4,99,2023,"Adventure, Family, Musical",1709,2023-11-10,Adam Anders
108,tt10545296,2022-04-28,2023-12-27,"November 17th (Lionsgate) 
Budget: $100,000,000
Opening Weekend: $44,607,143
Domestic: $153,337,500
International: $162,000,000
Worldwide: $315,337,500

Status: Success.",The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/,movie,6.9,157,2023,"Action, Adventure, Drama, Sci-Fi, Thriller, War",75449,2023-11-05,Francis Lawrence
109,tt14362112,2022-03-30,2023-12-27,"November 17th (Universal)
Budget: $95,000,000
Opening Weekend: $30,002,525
Domestic: $93,342,165
International: $97,950,000
Worldwide: $191,292,165

Status: On Track to be a Flop.",Trolls Band Together,https://www.imdb.com/title/tt14362112/,movie,6.0,91,2023,"Animation, Adventure, Comedy, Family, Fantasy, Music",8580,2023-10-12,"Walt Dohrn, Tim Heitz"
110,tt1448754,2023-04-03,2023-12-27,"November 17th (Sony)
Budget: $15,000,000
Opening Weekend: $10,306,272
Domestic: $31,780,973
International: $12,323,198
Worldwide: $44,104,171

Status: Success.",Thanksgiving,https://www.imdb.com/title/tt1448754/,movie,6.5,106,2023,"Horror, Mystery, Thriller",25723,2023-11-04,Eli Roth
111,tt10767052,2023-04-14,2023-12-27,"November 17th (Disney/Searchlight Pictures)
Budget: $14,000,000
Opening Weekend: $2,500,295
Domestic: $6,713,826
International: $969,650
Worldwide: $7,683,476

Status: Massive Flop.",Next Goal Wins,https://www.imdb.com/title/tt10767052/,movie,6.6,104,2023,"Comedy, Drama, Sport",4843,2023-09-10,Taika Waititi
112,tt17351924,2023-07-27,2023-12-27,"November 17th (Amazon)
Budget: 
Opening Weekend: $322,651
Domestic: $11,010,120
International: $8,103,135
Worldwide: $19,113,255

Status: Unknown.",Saltburn,https://www.imdb.com/title/tt17351924/,movie,7.2,131,2023,"Comedy, Drama, Thriller",69648,2023-08-31,Emerald Fennell
113,tt11304740,2022-03-30,2023-12-27,"November 22nd (Wednesday) (Thanksgiving) (Disney Animation) 
Budget: $200,000,000
3-Day Opening: $19,698,228
5-Day Opening: $31,609,340
Domestic: $57,743,376
International: $89,107,597
Worldwide: $146,850,973

Status: Massive Flop.",Wish,https://www.imdb.com/title/tt11304740/,movie,5.8,95,2023,"Animation, Adventure, Comedy, Family, Fantasy, Musical",12904,2023-11-08,"Chris Buck, Fawn Veerasunthorn"
114,tt13287846,2023-04-03,2023-12-27,"November 22nd (Wednesday) (Apple/Sony)
Budget: $200,000,000
3-Day Opening: $20,638,887
5-Day Opening: $32,752,716
Domestic: $59,455,761
International: $139,200,000
Worldwide: $198,655,761

Status: Massive Flop.",Napoleon,https://www.imdb.com/title/tt13287846/,movie,6.6,158,2023,"Action, Adventure, Biography, Drama, History, War",73360,2023-11-14,Ridley Scott
115,tt15799866,2023-09-23,2023-12-27,"December 1st (Lionsgate)
Budget: 
Opening Weekend: $3,010,207
Domestic: $7,867,100
International: $2,693,969
Worldwide: $10,561,069

Status: Unknown.",Silent Night,https://www.imdb.com/title/tt15799866/,movie,5.4,104,2023,"Action, Thriller",12459,2023-11-29,John Woo
116,tt5198890,2023-09-05,2023-12-27,"December 1st (Neon)
Budget: 
Opening Weekend: $93,290
Domestic: $1,415,384
International: $125,135
Worldwide: $1,540,519

Status: Unknown.",Eileen,https://www.imdb.com/title/tt5198890/,movie,6.5,97,2023,"Drama, Mystery, Thriller",3388,2023-01-21,William Oldroyd
117,tt14230458,2023-04-28,2023-12-27,"December 8th (Disney/Searchlight Pictures)
Budget: 
Opening Weekend: $661,230
Domestic: $5,870,031
International: 
Worldwide: $5,870,031

Status: Unknown.",Poor Things,https://www.imdb.com/title/tt14230458/,movie,8.5,141,2023,"Comedy, Drama, Romance, Sci-Fi",15803,2023-09-01,Yorgos Lanthimos
118,tt6166392,2022-03-30,2023-12-27,"December 15th (Warner Bros.)
Budget: $125,000,000
Opening Weekend: $39,005,800
Domestic: $85,852,717
International: $177,600,000
Worldwide: $263,452,717

Status: On Track to be a Success.",Wonka,https://www.imdb.com/title/tt6166392/,movie,7.3,116,2023,"Adventure, Comedy, Family, Fantasy, Musical",49910,2023-11-28,Paul King
119,tt23561236,2023-09-21,2023-12-27,"December 15th (MGM)
Budget: 
Opening Weekend: $224,469
Domestic: $913,771
International: 
Worldwide: $913,771

Status: Unknown.",American Fiction,https://www.imdb.com/title/tt23561236/,movie,7.7,117,2023,"Comedy, Drama",2315,2023-09-08,Cord Jefferson
120,tt7160372,2023-08-07,2023-12-27,"December 15th (A24)
Budget: 
Opening Weekend: $129,934
Domestic: $312,384
International: 
Worldwide: $312,384

Status: Unknown.",The Zone of Interest,https://www.imdb.com/title/tt7160372/,movie,8.0,105,2023,"Drama, History, War",2672,2023-05-19,Jonathan Glazer
121,tt9663764,2022-08-24,2023-12-27,"December 22nd (Warner Bros.)
Budget: 205,000,000
Opening Weekend: $27,700,000
4-Day Opening: $38,300,000
Domestic: $38,300,000
International: $94,900,000
Worldwide: $133,200,000

Status: On Track to be a Flop.",Aquaman and the Lost Kingdom,https://www.imdb.com/title/tt9663764/,movie,6.0,124,2023,"Action, Adventure, Fantasy, Sci-Fi",22516,2023-12-20,James Wan
122,tt6495056,2022-03-30,2023-12-27,"December 22nd (Universal) 
Budget: $72,000,000
Opening Weekend: $12,453,275
4-Day Opening: $17,813,055
Domestic: $17,813,055
International: $21,960,000
Worldwide: $39,773,055

Status: Early to Tell.",Migration,https://www.imdb.com/title/tt6495056/,movie,6.9,83,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy",4262,2023-10-19,"Benjamin Renner, Guylo Homsy"
123,tt26047818,2023-05-05,2023-12-27,"December 22nd (Sony)
Budget: $25,000,000
Opening Weekend: $6,000,000
4-Day Opening: $8,050,000
Domestic: $8,050,000
International: 
Worldwide: $8,050,000

Status: Early to Tell.",Anyone But You,https://www.imdb.com/title/tt26047818/,movie,6.6,103,2023,"Comedy, Romance",4689,2023-12-15,Will Gluck
124,tt21064584,2023-07-27,2023-12-27,"December 22nd (A24)
Budget: $15,900,000
Opening Weekend: $4,868,370
4-Day Opening: $6,799,075
Domestic: $6,799,075
International: 
Worldwide: $6,799,075

Status: Early to Tell.",The Iron Claw,https://www.imdb.com/title/tt21064584/,movie,8.1,132,2023,"Biography, Drama, Sport",7896,2023-11-08,Sean Durkin
125,tt21192142,2023-08-07,2023-12-27,"December 22nd (Disney/Searchlight Pictures)
Budget: 
3-Day Opening: $117,965
4-Day Opening: $153,272
Domestic: $153,272
International: 
Worldwide: $153,272

Status: Unknown.",All of Us Strangers,https://www.imdb.com/title/tt21192142/,movie,8.1,105,2023,"Drama, Fantasy, Romance",2302,2023-08-31,Andrew Haigh
126,tt20420628,2023-10-08,2023-12-27,"December 22nd (Sony)
Budget: 
Opening Weekend: $45,590
Domestic: $45,590
International: 
Worldwide: $45,590

Status: Unknown.",Freud's Last Session,https://www.imdb.com/title/tt20420628/,movie,6.8,108,2023,Drama,157,2023-10-27,Matt Brown
127,tt1200263,2022-03-30,2023-04-05,December 25th (Monday) (Warner Bros.) ,The Color Purple,https://www.imdb.com/title/tt1200263/,movie,7.8,141,2023,"Drama, Musical",2952,2023-10-27,Blitz Bazawule
128,tt1856080,2023-06-03,2023-06-03,December 25th (Monday) (MGM),The Boys in the Boat,https://www.imdb.com/title/tt1856080/,movie,7.3,123,2023,"Biography, Drama, Sport",2470,2023-12-07,George Clooney
129,tt3758542,2023-09-05,2023-09-05,December 25th (Monday) (Neon),Ferrari,https://www.imdb.com/title/tt3758542/,movie,6.8,130,2023,"Biography, Drama, History",7534,2023-08-31,Michael Mann
130,tt26612950,2023-11-26,2023-11-26,December 25th (Monday) (Sony),Das Lehrerzimmer,https://www.imdb.com/title/tt26612950/,movie,7.5,98,2023,Drama,3370,2023-02-18,Ilker Çatak
