Position,Const,Created,Modified,studio,budget,opening_weekend,domestic,international,worldwide,status,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,
111,tt10767052,2023-04-14,2023-12-27,"Disney/Searchlight Pictures",14000000,2500295,6713826,969650,7683476,Massive Flop,Next Goal Wins,https://www.imdb.com/title/tt10767052/,movie,6.6,104,2023,"Comedy, Drama, Sport",4843,2023-09-10,"Taika Waititi",
87,tt22687790,2022-10-11,2023-12-27,"Disney/20th Century Studios",60000000,14279529,42471412,79819044,122290456,Flop,A Haunting in Venice,https://www.imdb.com/title/tt22687790/,movie,6.5,103,2023,"Crime, Drama, Horror, Mystery, Thriller",91695,2023-09-13,"Kenneth Branagh",
91,tt11858890,2022-06-14,2023-12-27,"Disney/20th Century Studios",80000000,14079512,40774679,63497457,104272136,Massive Flop,The Creator,https://www.imdb.com/title/tt11858890/,movie,6.8,133,2023,"Action, Adventure, Drama, Sci-Fi, Thriller",106208,2023-09-21,"Gareth Edwards",
93,tt15837338,2022-03-30,2023-12-27,"Paramount",30000000,22764354,65231360,133700000,198931360,Massive Success,PAW Patrol: The Mighty Movie,https://www.imdb.com/title/tt15837338/,movie,6,88,2023,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi",4187,2023-09-21,"Cal Brunker",
92,tt21807222,2022-08-16,2023-12-27,"Lionsgate",13000000,18309301,53607898,56947980,110555878,Massive Success,Saw X,https://www.imdb.com/title/tt21807222/,movie,6.6,118,2023,"Horror, Mystery, Thriller",62780,2023-09-25,"Kevin Greutert",
103,tt8002382,2023-09-02,2023-12-27,"Lionsgate",,849006,1792905,1209010,3001915,Unknown,The Marsh King's Daughter,https://www.imdb.com/title/tt8002382/,movie,5.8,109,2023,"Crime, Drama, Mystery, Thriller",5280,2023-09-28,"Neil Burger",
94,tt12921446,2022-03-30,2023-12-27,"Universal",30000000,26497600,65537395,70632517,136169912,Massive Success,The Exorcist: Believer,https://www.imdb.com/title/tt12921446/,movie,4.8,111,2023,Horror,33085,2023-10-04,"David Gordon Green",
109,tt14362112,2022-03-30,2023-12-27,"Universal",95000000,30002525,93342165,97950000,191292165,On Track to be a Flop,Trolls Band Together,https://www.imdb.com/title/tt14362112/,movie,6,91,2023,"Animation, Adventure, Comedy, Family, Fantasy, Music",8580,2023-10-12,"Walt Dohrn, Tim Heitz",
122,tt6495056,2022-03-30,2023-12-27,"Universal",72000000,12453275,17813055,21960000,39773055,Early to Tell,Migration,https://www.imdb.com/title/tt6495056/,movie,6.9,83,2023,"Animation, Action, Adventure, Comedy, Family, Fantasy",4262,2023-10-19,"Benjamin Renner, Guylo Homsy",
100,tt4589218,2023-07-28,2023-12-27,"Universal",20000000,80001720,137275620,152086000,289361620,Massive Success,Five Nights at Freddy's,https://www.imdb.com/title/tt4589218/,movie,5.5,109,2023,"Horror, Mystery, Thriller",80939,2023-10-25,"Emma Tammi",
126,tt20420628,2023-10-08,2023-12-27,"Sony",,45590,45590,,45590,Unknown,Freud's Last Session,https://www.imdb.com/title/tt20420628/,movie,6.8,108,2023,Drama,157,2023-10-27,"Matt Brown",
127,tt1200263,2022-03-30,2023-04-05,"Warner Bros.",,,,,,,The Color Purple,https://www.imdb.com/title/tt1200263/,movie,7.8,141,2023,"Drama, Musical",2952,2023-10-27,"Blitz Bazawule",
110,tt1448754,2023-04-03,2023-12-27,"Sony",15000000,10306272,31780973,12323198,44104171,Success,Thanksgiving,https://www.imdb.com/title/tt1448754/,movie,6.5,106,2023,"Horror, Mystery, Thriller",25723,2023-11-04,"Eli Roth",
108,tt10545296,2022-04-28,2023-12-27,"Lionsgate",100000000,44607143,153337500,162000000,315337500,Success,The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/,movie,6.9,157,2023,"Action, Adventure, Drama, Sci-Fi, Thriller, War",75449,2023-11-05,"Francis Lawrence",
105,tt10676048,2023-02-17,2023-12-27,"Disney/Marvel Studios",220000000,46110859,84425017,121153414,205578431,Massive Flop,The Marvels,https://www.imdb.com/title/tt10676048/,movie,5.8,105,2023,"Action, Adventure, Fantasy",66972,2023-11-08,"Nia DaCosta",
113,tt11304740,2022-03-30,2023-12-27,"Disney Animation",200000000,19698228,57743376,89107597,146850973,Massive Flop,Wish,https://www.imdb.com/title/tt11304740/,movie,5.8,95,2023,"Animation, Adventure, Comedy, Family, Fantasy, Musical",12904,2023-11-08,"Chris Buck, Fawn Veerasunthorn",
124,tt21064584,2023-07-27,2023-12-27,"A24",15900000,4868370,6799075,,6799075,Early to Tell,The Iron Claw,https://www.imdb.com/title/tt21064584/,movie,8.1,132,2023,"Biography, Drama, Sport",7896,2023-11-08,"Sean Durkin",
107,tt13848804,2023-04-03,2023-12-27,"Sony",6000000,2400446,6805964,498573,7304537,Massive Flop,Journey to Bethlehem,https://www.imdb.com/title/tt13848804/,movie,6.4,99,2023,"Adventure, Family, Musical",1709,2023-11-10,"Adam Anders",
114,tt13287846,2023-04-03,2023-12-27,"Apple/Sony",200000000,20638887,59455761,139200000,198655761,Massive Flop,Napoleon,https://www.imdb.com/title/tt13287846/,movie,6.6,158,2023,"Action, Adventure, Biography, Drama, History, War",73360,2023-11-14,"Ridley Scott",
118,tt6166392,2022-03-30,2023-12-27,"Warner Bros.",125000000,39005800,85852717,177600000,263452717,On Track to be a Success,Wonka,https://www.imdb.com/title/tt6166392/,movie,7.3,116,2023,"Adventure, Comedy, Family, Fantasy, Musical",49910,2023-11-28,"Paul King",
115,tt15799866,2023-09-23,2023-12-27,"Lionsgate",,3010207,7867100,2693969,10561069,Unknown,Silent Night,https://www.imdb.com/title/tt15799866/,movie,5.4,104,2023,"Action, Thriller",12459,2023-11-29,"John Woo",
128,tt1856080,2023-06-03,2023-06-03,"MGM",,,,,,,The Boys in the Boat,https://www.imdb.com/title/tt1856080/,movie,7.3,123,2023,"Biography, Drama, Sport",2470,2023-12-07,"George Clooney",
123,tt26047818,2023-05-05,2023-12-27,"Sony",25000000,6000000,8050000,,8050000,Early to Tell,Anyone But You,https://www.imdb.com/title/tt26047818/,movie,6.6,103,2023,"Comedy, Romance",4689,2023-12-15,"Will Gluck",
121,tt9663764,2022-08-24,2023-12-27,"Warner Bros.",205000000,27700000,38300000,94900000,133200000,On Track to be a Flop,Aquaman and the Lost Kingdom,https://www.imdb.com/title/tt9663764/,movie,6,124,2023,"Action, Adventure, Fantasy, Sci-Fi",22516,2023-12-20,"James Wan"
